Date,CPI
Sep-1948,3.7
Dec-1948,3.8
Mar-1949,3.9
Jun-1949,4.0
Sep-1949,4.1
Dec-1949,4.1
Mar-1950,4.2
Jun-1950,4.3
Sep-1950,4.4
Dec-1950,4.6
Mar-1951,4.8
Jun-1951,5.1
Sep-1951,5.3
Dec-1951,5.7
Mar-1952,5.9
Jun-1952,6.1
Sep-1952,6.2
Dec-1952,6.3
Mar-1953,6.3
Jun-1953,6.4
Sep-1953,6.5
Dec-1953,6.4
Mar-1954,6.5
Jun-1954,6.5
Sep-1954,6.5
Dec-1954,6.5
Mar-1955,6.5
Jun-1955,6.6
Sep-1955,6.6
Dec-1955,6.7
Mar-1956,6.7
Jun-1956,7.0
Sep-1956,7.1
Dec-1956,7.1
Mar-1957,7.1
Jun-1957,7.2
Sep-1957,7.2
Dec-1957,7.2
Mar-1958,7.2
Jun-1958,7.2
Sep-1958,7.2
Dec-1958,7.3
Mar-1959,7.3
Jun-1959,7.3
Sep-1959,7.4
Dec-1959,7.5
Mar-1960,7.5
Jun-1960,7.6
Sep-1960,7.7
Dec-1960,7.8
Mar-1961,7.8
Jun-1961,7.9
Sep-1961,7.8
Dec-1961,7.8
Mar-1962,7.8
Jun-1962,7.8
Sep-1962,7.8
Dec-1962,7.8
Mar-1963,7.8
Jun-1963,7.8
Sep-1963,7.9
Dec-1963,7.9
Mar-1964,8.0
Jun-1964,8.0
Sep-1964,8.1
Dec-1964,8.2
Mar-1965,8.2
Jun-1965,8.3
Sep-1965,8.4
Dec-1965,8.5
Mar-1966,8.6
Jun-1966,8.6
Sep-1966,8.6
Dec-1966,8.7
Mar-1967,8.8
Jun-1967,8.9
Sep-1967,9.0
Dec-1967,9.0
Mar-1968,9.1
Jun-1968,9.1
Sep-1968,9.2
Dec-1968,9.2
Mar-1969,9.4
Jun-1969,9.4
Sep-1969,9.5
Dec-1969,9.5
Mar-1970,9.6
Jun-1970,9.7
Sep-1970,9.8
Dec-1970,10.0
Mar-1971,10.1
Jun-1971,10.2
Sep-1971,10.5
Dec-1971,10.7
Mar-1972,10.8
Jun-1972,10.9
Sep-1972,11.1
Dec-1972,11.2
Mar-1973,11.4
Jun-1973,11.8
Sep-1973,12.2
Dec-1973,12.6
Mar-1974,13.0
Jun-1974,13.5
Sep-1974,14.2
Dec-1974,14.7
Mar-1975,15.3
Jun-1975,15.8
Sep-1975,15.9
Dec-1975,16.8
Mar-1976,17.3
Jun-1976,17.7
Sep-1976,18.1
Dec-1976,19.2
Mar-1977,19.6
Jun-1977,20.1
Sep-1977,20.5
Dec-1977,21.0
Mar-1978,21.3
Jun-1978,21.7
Sep-1978,22.1
Dec-1978,22.6
Mar-1979,23.0
Jun-1979,23.6
Sep-1979,24.2
Dec-1979,24.9
Mar-1980,25.4
Jun-1980,26.2
Sep-1980,26.6
Dec-1980,27.2
Mar-1981,27.8
Jun-1981,28.4
Sep-1981,29.0
Dec-1981,30.2
Mar-1982,30.8
Jun-1982,31.5
Sep-1982,32.6
Dec-1982,33.6
Mar-1983,34.3
Jun-1983,35.0
Sep-1983,35.6
Dec-1983,36.5
Mar-1984,36.3
Jun-1984,36.4
Sep-1984,36.9
Dec-1984,37.4
Mar-1985,37.9
Jun-1985,38.8
Sep-1985,39.7
Dec-1985,40.5
Mar-1986,41.4
Jun-1986,42.1
Sep-1986,43.2
Dec-1986,44.4
Mar-1987,45.3
Jun-1987,46.0
Sep-1987,46.8
Dec-1987,47.6
Mar-1988,48.4
Jun-1988,49.3
Sep-1988,50.2
Dec-1988,51.2
Mar-1989,51.7
Jun-1989,53.0
Sep-1989,54.2
Dec-1989,55.2
Mar-1990,56.2
Jun-1990,57.1
Sep-1990,57.5
Dec-1990,59.0
Mar-1991,58.9
Jun-1991,59.0
Sep-1991,59.3
Dec-1991,59.9
Mar-1992,59.9
Jun-1992,59.7
Sep-1992,59.8
Dec-1992,60.1
Mar-1993,60.6
Jun-1993,60.8
Sep-1993,61.1
Dec-1993,61.2
Mar-1994,61.5
Jun-1994,61.9
Sep-1994,62.3
Dec-1994,62.8
Mar-1995,63.8
Jun-1995,64.7
Sep-1995,65.5
Dec-1995,66.0
Mar-1996,66.2
Jun-1996,66.7
Sep-1996,66.9
Dec-1996,67.0
Mar-1997,67.1
Jun-1997,66.9
Sep-1997,66.6
Dec-1997,66.8
Mar-1998,67.0
Jun-1998,67.4
Sep-1998,67.5
Dec-1998,67.8
Mar-1999,67.8
Jun-1999,68.1
Sep-1999,68.7
Dec-1999,69.1
Mar-2000,69.7
Jun-2000,70.2
Sep-2000,72.9
Dec-2000,73.1
Mar-2001,73.9
Jun-2001,74.5
Sep-2001,74.7
Dec-2001,75.4
Mar-2002,76.1
Jun-2002,76.6
Sep-2002,77.1
Dec-2002,77.6
Mar-2003,78.6
Jun-2003,78.6
Sep-2003,79.1
Dec-2003,79.5
Mar-2004,80.2
Jun-2004,80.6
Sep-2004,80.9
Dec-2004,81.5
Mar-2005,82.1
Jun-2005,82.6
Sep-2005,83.4
Dec-2005,83.8
Mar-2006,84.5
Jun-2006,85.9
Sep-2006,86.7
Dec-2006,86.6
Mar-2007,86.6
Jun-2007,87.7
Sep-2007,88.3
Dec-2007,89.1
Mar-2008,90.3
Jun-2008,91.6
Sep-2008,92.7
Dec-2008,92.4
Mar-2009,92.5
Jun-2009,92.9
Sep-2009,93.8
Dec-2009,94.3
Mar-2010,95.2
Jun-2010,95.8
Sep-2010,96.5
Dec-2010,96.9
Mar-2011,98.3
Jun-2011,99.2
Sep-2011,99.8
Dec-2011,99.8
Mar-2012,99.9
Jun-2012,100.4
Sep-2012,101.8
Dec-2012,102.0
Mar-2013,102.4
Jun-2013,102.8
Sep-2013,104.0
Dec-2013,104.8
Mar-2014,105.4
Jun-2014,105.9
Sep-2014,106.4
Dec-2014,106.6
Mar-2015,106.8
Jun-2015,107.5
Sep-2015,108.0
Dec-2015,108.4
Mar-2016,108.2
Jun-2016,108.6
Sep-2016,109.4
Dec-2016,110.0
Mar-2017,110.5
Jun-2017,110.7
Sep-2017,111.4
Dec-2017,112.1
Mar-2018,112.6
Jun-2018,113.0
Sep-2018,113.5
Dec-2018,114.1
Mar-2019,114.1
