Date,CPI
Sep-48,3.7
Dec-48,3.8
Mar-49,3.9
Jun-49,4
Sep-49,4.1
Dec-49,4.1
Mar-50,4.2
Jun-50,4.3
Sep-50,4.4
Dec-50,4.6
Mar-51,4.8
Jun-51,5.1
Sep-51,5.3
Dec-51,5.7
Mar-52,5.9
Jun-52,6.1
Sep-52,6.2
Dec-52,6.3
Mar-53,6.3
Jun-53,6.4
Sep-53,6.5
Dec-53,6.4
Mar-54,6.5
Jun-54,6.5
Sep-54,6.5
Dec-54,6.5
Mar-55,6.5
Jun-55,6.6
Sep-55,6.6
Dec-55,6.7
Mar-56,6.7
Jun-56,7
Sep-56,7.1
Dec-56,7.1
Mar-57,7.1
Jun-57,7.2
Sep-57,7.2
Dec-57,7.2
Mar-58,7.2
Jun-58,7.2
Sep-58,7.2
Dec-58,7.3
Mar-59,7.3
Jun-59,7.3
Sep-59,7.4
Dec-59,7.5
Mar-60,7.5
Jun-60,7.6
Sep-60,7.7
Dec-60,7.8
Mar-61,7.8
Jun-61,7.9
Sep-61,7.8
Dec-61,7.8
Mar-62,7.8
Jun-62,7.8
Sep-62,7.8
Dec-62,7.8
Mar-63,7.8
Jun-63,7.8
Sep-63,7.9
Dec-63,7.9
Mar-64,8
Jun-64,8
Sep-64,8.1
Dec-64,8.2
Mar-65,8.2
Jun-65,8.3
Sep-65,8.4
Dec-65,8.5
Mar-66,8.6
Jun-66,8.6
Sep-66,8.6
Dec-66,8.7
Mar-67,8.8
Jun-67,8.9
Sep-67,9
Dec-67,9
Mar-68,9.1
Jun-68,9.1
Sep-68,9.2
Dec-68,9.2
Mar-69,9.4
Jun-69,9.4
Sep-69,9.5
Dec-69,9.5
Mar-70,9.6
Jun-70,9.7
Sep-70,9.8
Dec-70,10
Mar-71,10.1
Jun-71,10.2
Sep-71,10.5
Dec-71,10.7
Mar-72,10.8
Jun-72,10.9
Sep-72,11.1
Dec-72,11.2
Mar-73,11.4
Jun-73,11.8
Sep-73,12.2
Dec-73,12.6
Mar-74,13
Jun-74,13.5
Sep-74,14.2
Dec-74,14.7
Mar-75,15.3
Jun-75,15.8
Sep-75,15.9
Dec-75,16.8
Mar-76,17.3
Jun-76,17.7
